name,number,latitude,longitude
Białystok,12295,53.1324886,23.1688403
Bielsko Biała,12600,49.8223768,19.0583845
Chojnice,12235,53.6944002,17.5569252
Częstochowa,12550,50.8118195,19.1203094
Dźwirzyno,12556,54.1592118,15.3981232
Elbląg,12160,54.1560613,19.4044897
Gdańsk,12155,54.3520252,18.6466384
Gorzów,12300,52.7325285,15.2369305
Hel,12135,54.6083804,18.8007998
Jelenia Góra,12500,50.9044171,15.7193616
Kalisz,12435,51.7672799,18.0853462
Kasprowy Wierch,12650,49.2321642,19.981798
Katowice,12560,50.2648919,19.0237815
Kętrzyn,12185,54.07657,21.3750399
Kielce,12570,50.8660773,20.6285676
Kłodzko,12520,50.4345636,16.6613941
Koło,12345,52.19986,18.63847
Kołobrzeg,12100,54.1759173,15.5832667
Koszalin,12105,54.1943219,16.1714908
Kozienice,12488,51.5855328,21.5511768
Kraków,12566,50.0646501,19.9449799
Krosno,12670,49.6824761,21.7660531
Legnica,12415,51.2070067,16.1553231
Lesko,12690,49.4701205,22.3304325
Leszno,12418,51.8419861,16.5937545
Lębork,12125,54.544642,17.7532511
Lublin,12495,51.2464536,22.5684463
Łeba,12120,54.760117,17.5563117
Łódź,12465,51.7592485,19.4559833
Mikołajki,12280,53.8027021,21.5706044
Mława,12270,53.1122632,20.3837208
Nowy Sącz,12660,49.6174535,20.7153325
Olsztyn,12272,53.778422,20.4801192
Opole,12530,50.6751067,17.9212976
Ostrołęka,12285,53.0876544,21.5592554
Piła,12230,53.1509671,16.7382266
Platforma,12001,55.025,17.448
Płock,12360,52.5463446,19.7065364
Poznań,12330,52.406374,16.9251681
Przemyśl,12695,49.7838623,22.7677908
Racibórz,12540,50.0915234,18.2199166
Resko,12210,53.77304,15.40611
Rzeszów,12580,50.0411867,21.9991196
Sandomierz,12585,50.6822405,21.7501781
Siedlce,12385,52.1676031,22.2901645
Słubice,12310,52.351065,14.5604649
Sulejów,12469,51.35412,19.88512
Suwałki,12195,54.1115218,22.9307881
Szczecin,12205,53.4285438,14.5528116
Szczecinek,12215,53.7100713,16.6993602
Śnieżka,12510,50.7360171,15.7399457
Świnoujście,12200,53.9100327,14.2475775
Tarnów,12575,50.0121011,20.9858407
Terespol,12399,52.0732257,23.6080719
Toruń,12250,53.0137902,18.5984437
Ustka,12115,54.5805607,16.861891
Warszawa,12375,52.2296756,21.0122287
Wieluń,12455,51.2186,18.56892
Włodawa,12497,51.55178,23.55434
Wrocław,12424,51.1078852,17.0385376
Zakopane,12625,49.299181,19.949562
Zamość,12595,50.7230879,23.2519685
Zielona Góra,12400,51.9356214,15.5061862
